source_id,ref_epoch,ra,dec,parallax,pmra,pmdec,radial_velocity,radial_velocity_error,phot_g_mean_mag,bp_rp,ruwe,astrometric_params_solved,ra_error,dec_error,parallax_error,pmra_error,pmdec_error
135039063187620864,2016.0,38.945232847342844,34.68733260775787,4.807457703836091,26.688512432578204,-48.894449291845056,-8.325112,2.080536,4.4736915,2.2552881,2.686164,31,0.25041392,0.18870503,0.27205902,0.36098462,0.2331547
135525184764395776,2016.0,44.32201654738285,31.934086690092425,9.344779250046733,1.789891273454577,-30.088365305006956,10.668426,1.0207924,5.0881357,-0.034705162,1.2263091,31,0.12495908,0.09010523,0.13193528,0.14919436,0.11256424
137319832555250816,2016.0,44.765068361382745,35.18316029459311,9.050135297952748,-46.30812862073836,6.61419056760986,-36.960373,0.13119401,4.561302,1.3887236,0.9637042,31,0.155401,0.09098253,0.11268041,0.13337882,0.084529296
139578229439674496,2016.0,47.848822113055974,38.06940369188151,1.7284231581277407,4.907926526266573,-4.367486743064124,13.963961,0.31535238,5.9887786,2.9611478,1.0194883,31,0.0455978,0.03811717,0.04951253,0.048332892,0.03926848
140457735662620800,2016.0,42.87854040758558,35.05946084085705,7.776155027856757,9.47876806480011,-62.74430688042035,,,3.901517,1.8479674,1.9206738,31,0.1713299,0.1468901,0.20183453,0.18719345,0.1877149
140480722327539328,2016.0,42.720378922214564,35.39391391549978,4.846200815623703,48.36667718705753,3.0063953299832353,-43.46883,0.27066207,5.967968,1.6572137,1.1194773,31,0.028765133,0.026466288,0.033712216,0.036347404,0.032070518
142853330981747328,2016.0,46.29487462677558,38.83980896875264,,,,,,2.111629,2.1664658,,3,0.5419412,0.5042702,,,
143119137916819456,2016.0,43.42786006164385,38.337105170901495,16.60427992591326,50.9839939355003,-79.58949818122778,5.3733497,0.920545,5.2669635,0.57826185,6.530081,31,0.47108236,0.40352222,0.56667554,0.56934905,0.5214304
143183837304899840,2016.0,44.50966399313499,38.614851612912496,4.0300850983014005,-5.959781307245475,-16.82112497976899,-43.823826,0.13484596,5.579352,1.5630007,1.0628227,31,0.07048163,0.05288643,0.0646345,0.097650915,0.05676597
143293685388561664,2016.0,42.64718912701181,38.31815668247095,25.844516228361115,195.45122745659867,-109.3979775951821,15.165958,0.3002217,4.1400833,0.50438833,3.6722465,95,0.23764905,0.17311631,0.22433622,0.2419008,0.19839865
143652710294349696,2016.0,44.69043695121501,39.662542006966284,10.443745774915273,25.047633185782065,-41.52224793988306,,,4.6480665,0.13847303,0.8288228,31,0.0903189,0.07204273,0.097687915,0.11993647,0.090698406
144057468012449536,2016.0,44.916247674476764,41.03273156157788,4.576426174022648,14.722691104547039,-46.98077469901568,32.46354,0.13045608,5.3783674,1.6382537,0.9961466,31,0.15206401,0.08710018,0.084421605,0.3484511,0.1783128
145259990135756928,2016.0,65.88492755800075,20.98189032686249,5.8121366222327,14.292567648938807,-34.80675724840933,,,5.9690137,0.067807674,0.9916973,31,0.040883504,0.024561636,0.048548628,0.05688676,0.041708156
145391484855481344,2016.0,67.00372585556586,21.619715671604588,20.158816761462322,97.09780452126684,-42.14035232196819,41.215054,0.17265238,5.6573215,0.373621,0.9711737,31,0.04558748,0.023804393,0.05548979,0.06632346,0.039725237
145484634106814592,2016.0,66.35476960697082,22.199791471312718,22.017740203586687,112.37063071226237,-46.639004905218364,,,5.224731,0.35477066,1.3905345,95,0.11270116,0.058456358,0.12881888,0.17783113,0.10385797
145674574739951872,2016.0,66.34285323849276,22.29367359328652,20.91185281250576,104.35453085558618,-44.435815183648266,,,4.167236,0.22083235,1.1911019,31,0.12950589,0.069857955,0.157056,0.18281499,0.11904103
